case,50x,100x,200x,400x
PDx_KAPA_validation2_4_V3_IDT,2,2,14,22
PDx_KAPA_validation2_5_V3_IDT,2,5,9,32
PDx_KAPA_validation2_6_V3_IDT,5,7,17,95
PDxV3_Val_Batch4_1522,3,6,11,52
PDxV3_Val_Batch4_1563,2,5,11,82
PDxV3_Val_Batch4_1827,2,4,7,46
PDxV3_Val_Batch4_2459,2,9,18,76
PDxV3_Val_Batch4_2495,2,6,6,24
PDxV3_Val_Batch4_3161,2,4,6,23
PDxV3_Val_Batch4_319,2,11,16,159
PDxV3_Val_Batch4_4713,2,5,9,65
PDxV3_Val_Batch4_525,4,10,36,239
PDxV3_Val_Batch4_5584,12,15,62,445
PDxV3_Val_Batch4_5912,5,10,127,1577
PDxV3_Val_Batch4_650,8,17,178,1073
PDxV3_Val_Batch4_817,3,6,10,61
PDxV3_Val_Batch4_826,5,6,13,64
PDxV3_Val_Batch4_883,5,6,15,114
PDxV3_Val_Batch5_1709,2,4,6,17
PDxV3_Val_Batch5_1771,3,5,9,21
PDxV3_Val_Batch5_1996,3,4,6,18
PDxV3_Val_Batch5_2566,2,4,6,12
PDxV3_Val_Batch5_3611,2,2,6,20
PDxV3_Val_Batch5_4022,2,5,6,29
PDxV3_Val_Batch5_4334,3,4,8,18
PDxV3_Val_Batch5_650,2,5,7,21
PDxV3_Val_Batch5_797,3,4,6,19
PDxV3_Val_Batch5_909,4,6,7,45
PDxV3_Val_Batch5_911,3,5,7,21
PDxV3_Val_Batch5_FLT3-ITD-1,2,2,7,27
PDxV3_Val_Batch5_FLT3-ITD-2,2,4,7,24
PDxV3_Val_Batch5_FLT3-ITD-3,2,3,5,11
PDxV3_Val_Batch5_FLT3-ITD-4,2,3,6,9
PDxV3_Val_Batch5_FLT3-ITD-5,2,3,7,15
